EEG_Fp1,EEG_Fp2
-2.1e-05,7.1e-05
-3.3e-05,8.9e-05
-4.7e-05,8.4e-05
-3.5e-05,8.4e-05
-3.7e-05,5.9e-05
-3.6e-05,3e-05
-3.2e-05,-2e-05
-6e-06,2.5e-05
-3e-05,8.2e-05
-1.4e-05,8.9e-05
-5e-06,4.8e-05
-1.5e-05,4e-06
-1.8e-05,-4.2e-05
-1.7e-05,4e-06
-9e-06,9e-06
-1e-05,-1.2e-05
-1.6e-05,-7e-06
-0.0,6.4e-05
0.0,3.6e-05
-6e-06,4e-05
-1.7e-05,8e-05
-7e-06,0.000123
1.1e-05,0.000203
7e-06,0.000227
-1.4e-05,0.000203
-8e-06,0.000156
7e-06,0.000182
-7e-06,0.000187
-9e-06,0.000234
-4e-06,0.000221
-1e-06,0.000223
2e-06,0.000231
-1.2e-05,0.000177
-1.1e-05,0.000152
-6e-06,0.000173
1e-06,0.000212
-8e-06,0.000193
-4e-06,0.000157
-1e-06,0.000106
-4e-06,0.000124
-1e-06,0.0001
3e-06,0.000117
7e-06,0.00011
6e-06,8e-05
1.1e-05,0.000135
1e-05,0.00016
2.5e-05,0.000121
2.1e-05,0.000107
2.9e-05,8.4e-05
2.1e-05,4.4e-05
1.6e-05,4.2e-05
1.1e-05,8.4e-05
-8e-06,0.000104
6e-06,9.7e-05
2e-06,7.7e-05
3e-06,2.8e-05
-3e-06,4.9e-05
7e-06,6.2e-05
-4e-06,8e-05
1.2e-05,6.2e-05
-5e-06,7.4e-05
-3e-06,0.000108
-1.4e-05,9.5e-05
-6e-06,5.6e-05
-8e-06,5.2e-05
-5e-06,0.000111
-3e-06,0.000133
-4e-06,0.000154
1e-06,0.000138
-4e-06,0.000137
-1e-05,7.6e-05
-1e-05,8.4e-05
-1.3e-05,9.7e-05
-7e-06,7.4e-05
-6e-06,0.000111
-8e-06,0.000148
-5e-06,0.000172
-1e-05,0.00014
-1e-06,0.000106
-2.5e-05,0.000115
-1.3e-05,0.000131
-1.4e-05,7.3e-05
-6e-06,0.000119
-1.9e-05,0.0001
-2e-05,9.4e-05
-8e-06,5.2e-05
-1.8e-05,4.4e-05
-1.2e-05,2.4e-05
-2.3e-05,4e-06
-1.8e-05,-3.8e-05
-2.9e-05,1.8e-05
-1.3e-05,3e-05
-1.1e-05,-1.1e-05
-2.1e-05,3.4e-05
-1.5e-05,4.9e-05
-1.8e-05,6.7e-05
-1.4e-05,9.5e-05
-2.3e-05,0.000133
-2e-05,0.000117
-9e-06,0.000122
-1.7e-05,4.3e-05
-9e-06,8.3e-05
-1e-06,5.8e-05
-5e-06,5.8e-05
-1.8e-05,4.4e-05
-4e-06,3.2e-05
-1e-06,1.7e-05
2e-06,2.1e-05
-1.3e-05,6.5e-05
-1.3e-05,0.000118
-9e-06,0.000103
-1.1e-05,5.9e-05
-1.4e-05,2.1e-05
-1.1e-05,3.7e-05
-1.2e-05,6.2e-05
-1.1e-05,6.6e-05
-1e-05,1.2e-05
9e-06,-4.5e-05
1e-06,-6.8e-05
-1e-06,-5.4e-05
-3e-06,-2e-05
-2e-06,-5e-06
7e-06,-8e-06
1.2e-05,1.4e-05
2e-05,3e-06
1.8e-05,-4e-06
2.3e-05,-3.6e-05
2.2e-05,-3.8e-05
2.5e-05,2.9e-05
9e-06,7.9e-05
2.4e-05,8e-05
3.8e-05,1.9e-05
3.3e-05,-2e-06
4.4e-05,-8e-06
3.6e-05,-6e-06
4.4e-05,-1e-05
3.9e-05,6e-06
4.7e-05,9e-05
4.9e-05,9.6e-05
3.2e-05,6.2e-05
4.6e-05,4e-05
4.6e-05,1.3e-05
1.8e-05,-8e-06
3e-05,-3.1e-05
2.8e-05,-2.6e-05
4e-05,-6.6e-05
2.1e-05,-4.6e-05
3.4e-05,1.5e-05
3.3e-05,-3.5e-05
4.1e-05,-8.4e-05
3.5e-05,-8.1e-05
3.7e-05,-1.6e-05
2.1e-05,-0.0
3.1e-05,1.6e-05
4.3e-05,-6.1e-05
4e-05,-0.000127
3.4e-05,-0.000135
3e-05,-9.4e-05
2.5e-05,-9.4e-05
3.1e-05,-0.000101
4.7e-05,-0.000104
4.4e-05,-6e-05
5e-05,-2.9e-05
5.2e-05,-7.4e-05
3.9e-05,-1.4e-05
3.6e-05,-8e-06
3.1e-05,2.3e-05
2.1e-05,4.1e-05
5.4e-05,9.6e-05
4.2e-05,3.8e-05
4.2e-05,1e-06
4.6e-05,-7.7e-05
4.3e-05,-5.4e-05
3.3e-05,-7.6e-05
6.7e-05,-5.6e-05
6.2e-05,3.5e-05
3.8e-05,7.4e-05
3.4e-05,7.1e-05
4.2e-05,2.9e-05
3.1e-05,5.1e-05
2.8e-05,0.0
2.9e-05,-5.4e-05
2.5e-05,-3e-05
2.8e-05,-3.2e-05
2.5e-05,-1.3e-05
1.8e-05,2.6e-05
1.4e-05,4e-06
1.7e-05,1.6e-05
0.0,3e-06
-5e-06,-1.4e-05
0.0,1.1e-05
6e-06,6.5e-05
-1e-05,7.6e-05
-1.7e-05,2.7e-05
-5e-06,6.8e-05
-1.4e-05,7.1e-05
-3e-06,0.00011
-1.2e-05,0.000111
-1.6e-05,0.000122
-6e-06,0.000136
-1e-06,0.000151
-3.1e-05,8.1e-05
-2.5e-05,6.3e-05
-3.5e-05,7.2e-05
-3.4e-05,7.4e-05
-3.9e-05,7.3e-05
-5.8e-05,3.4e-05
-6e-05,6.1e-05
-5e-05,0.000121
-4.5e-05,0.00018
-5.3e-05,0.000198
-5.4e-05,0.000188
-4.1e-05,0.00021
-5.6e-05,0.000228
-7.1e-05,0.000235
-6.8e-05,0.000178
-7.1e-05,0.00014
-7.1e-05,0.00013
-7.4e-05,9.1e-05
-9e-05,6.3e-05
-9.2e-05,8.4e-05
-8.6e-05,8.4e-05
-0.000108,8.9e-05
-0.000119,9e-05
-0.000118,9.7e-05
-0.000118,6.1e-05
-0.000137,6.7e-05
-0.000147,7.8e-05
-0.000135,8.9e-05
-0.000131,0.000126
-0.000148,0.000109
-0.000167,6.7e-05
-0.000175,6e-06
-0.000156,4e-05
-0.000149,2.5e-05
-0.000178,3.4e-05
-0.000182,-5e-06
-0.000179,-9e-06
-0.000166,-1.3e-05
-0.000173,4.7e-05
-0.00017,5.6e-05
-0.00016,6.4e-05
-0.000148,5.2e-05
-0.000162,9e-06
-0.000185,1.8e-05
-0.000184,5.9e-05
-0.000172,3.5e-05
-0.000194,-7e-06
-0.000223,-2.7e-05
-0.000223,-2.6e-05
-0.000209,3.6e-05
-0.000217,4e-05
-0.000252,4.7e-05
-0.000262,2.8e-05
-0.000232,-1.2e-05
-0.000217,3e-06
-0.000231,1.1e-05
-0.000241,2.3e-05
-0.000221,-2e-06
-0.000184,4e-06
-0.000182,2e-05
-0.000208,-2.1e-05
-0.000174,-1.5e-05
-0.000136,4e-06
-0.000123,1.7e-05
-0.000148,2.2e-05
-0.000118,-3.2e-05
-8.1e-05,-5.4e-05
-6.7e-05,-2.9e-05
-9.5e-05,5.8e-05
-8.1e-05,1.9e-05
-6e-05,2e-06
-3.8e-05,1.1e-05
-4.9e-05,-6e-06
-8.7e-05,-1.5e-05
-7e-05,1.4e-05
-2.4e-05,3.7e-05
-5.3e-05,3.1e-05
-9.8e-05,1e-05
-4.9e-05,-5.1e-05
-4e-06,1e-06
0.0,-4e-06
-3.6e-05,-5.5e-05
-2.7e-05,-9e-05
0.0,-7.4e-05
5e-06,-8.2e-05
-5.3e-05,-9.7e-05
-5.7e-05,-9.2e-05
-3.3e-05,-5.1e-05
-4e-06,-3.7e-05
-4.7e-05,-2.4e-05
-6.5e-05,-3.3e-05
-3.8e-05,-5.7e-05
-3e-06,-5.8e-05
-2.1e-05,-8.2e-05
-6.3e-05,-5.3e-05
-4.1e-05,-9.3e-05
-7e-06,-0.000136
-2e-05,-0.000135
-5.1e-05,-9.8e-05
-3.4e-05,-4.6e-05
-1.3e-05,3e-05
4e-06,0.000119
8e-06,0.000105
3.4e-05,0.000149
6e-05,0.000184
0.0001,0.000213
7.2e-05,0.000206
5.6e-05,0.000213
8.5e-05,0.000148
0.000103,0.000114
0.000109,0.000106
8.5e-05,0.000138
0.000106,0.000139
0.000141,0.000124
0.00014,5.6e-05
0.000106,-2.5e-05
0.000126,-1.8e-05
0.000169,-4.6e-05
0.000186,-5.3e-05
0.000156,-6.3e-05
0.00018,1.3e-05
0.000235,5.4e-05
0.000292,4.3e-05
0.000283,2.4e-05
0.000283,3.7e-05
0.000324,0.000139
0.000377,0.000186
0.000372,0.000152
0.000356,0.000107
0.000376,0.000106
0.000411,9.5e-05
0.000411,8.7e-05
0.000389,0.000115
0.000415,0.000153
0.000457,0.000162
0.00049,0.000132
0.000461,9.2e-05
0.000454,0.000115
0.000495,0.0001
0.000526,4.2e-05
0.000523,8e-06
0.000517,3e-06
0.000554,3.3e-05
0.000584,7.3e-05
0.000553,5.7e-05
0.000518,4.9e-05
0.000536,2.9e-05
0.000549,-7e-06
0.000553,-1.7e-05
0.000513,-5e-05
0.000512,-4.8e-05
0.000522,-5.5e-05
0.000525,-0.000108
0.000496,-0.00011
0.000483,-0.000154
0.000506,-0.000105
0.000496,-8.7e-05
0.000455,-8e-05
0.000447,-2.5e-05
0.000454,-2e-06
0.000446,-0.0
0.000397,7.9e-05
0.000346,6e-05
0.000317,4.8e-05
0.000325,2.2e-05
0.000304,5.9e-05
0.000267,5.2e-05
0.000264,0.000132
0.000261,0.000133
0.000244,9.8e-05
0.0002,0.000106
0.000201,7.7e-05
0.000192,2.7e-05
0.000167,2.2e-05
0.000135,3.1e-05
9.8e-05,3.2e-05
8.6e-05,6e-05
7.5e-05,7e-05
4.3e-05,1.8e-05
2e-05,-3e-05
6e-06,3.1e-05
0.0,-2.6e-05
-1e-05,-4.2e-05
-1.4e-05,-1.7e-05
-1e-06,4e-05
2.2e-05,4.3e-05
4.2e-05,7.7e-05
4.2e-05,6.7e-05
4.2e-05,-1.1e-05
6.7e-05,-4e-06
6.4e-05,4e-06
4.1e-05,-3.7e-05
3e-05,-1.3e-05
1.7e-05,1e-06
1.3e-05,-6.1e-05
4e-06,-6.9e-05
-1e-05,-2.1e-05
-1e-05,-6e-06
-3.4e-05,1.6e-05
-3e-05,1.3e-05
-2.5e-05,-4e-06
-4.6e-05,-6.9e-05
-4e-05,-5.7e-05
-4.1e-05,-9.1e-05
-6.8e-05,-8e-05
-7.4e-05,-9.8e-05
-8.5e-05,-6.9e-05
-6.9e-05,-6e-05
-7.6e-05,-9.2e-05
-8.3e-05,-1.1e-05
-9e-05,5e-06
-8.9e-05,-3.3e-05
-7e-05,-3.8e-05
-8.4e-05,-5e-06
-7.9e-05,-6e-06
-8e-05,4.3e-05
-8.7e-05,1.3e-05
-9.1e-05,1.5e-05
-8.9e-05,-1e-06
-8.6e-05,-2e-06
-7.3e-05,-5.8e-05
-8.2e-05,-0.000122
-7.9e-05,-0.000115
-8.3e-05,-0.000155
-7.4e-05,-0.000141
-8.9e-05,-0.000136
-0.000107,-7.9e-05
-9.4e-05,-6.4e-05
-9.2e-05,-4.8e-05
-9.6e-05,-6.2e-05
-0.000101,4.4e-05
-0.000105,6e-05
-9.9e-05,5.6e-05
-8.9e-05,8.3e-05
-0.000104,0.000113
-9.1e-05,9.6e-05
-6.7e-05,7.2e-05
-7.3e-05,5.6e-05
-7.3e-05,4.5e-05
-7.7e-05,5.3e-05
-7.7e-05,2.9e-05
-7.7e-05,2.7e-05
-6.8e-05,-3.5e-05
-8.8e-05,-9.7e-05
-8.9e-05,-0.00013
-9.2e-05,-7.3e-05
-8.3e-05,-5.7e-05
-7.3e-05,-8.1e-05
-7.7e-05,-4.1e-05
-6.9e-05,-5.5e-05
-6.3e-05,-0.000104
-8e-05,-6.7e-05
-7.8e-05,-2.1e-05
-7.5e-05,-2.1e-05
-8e-05,-3e-05
-7.3e-05,-3.4e-05
-7.5e-05,-1.9e-05
-5.7e-05,-1e-05
-6e-05,5.4e-05
-6.8e-05,6.9e-05
-5.6e-05,5.4e-05
-5.5e-05,6.6e-05
-4.8e-05,6e-05
-6.2e-05,5.1e-05
-6.2e-05,1.7e-05
-6.3e-05,1.5e-05
-5.9e-05,-2.8e-05
-5.3e-05,-3.6e-05
-5.5e-05,-6e-05
-4.3e-05,5e-06
-4.2e-05,-3.5e-05
-5.5e-05,-4.6e-05
-5.3e-05,-4.9e-05
-5.6e-05,-5.3e-05
-7.5e-05,-5.1e-05
-7.5e-05,-3e-05
-7.4e-05,-4e-05
-9.4e-05,-6.4e-05
-0.0001,-4.5e-05
-9.7e-05,-4.6e-05
-0.0001,-1.2e-05
-8.6e-05,-1.3e-05
-0.000103,0.0
-9.3e-05,1.6e-05
-7.2e-05,3.2e-05
-6.4e-05,5.7e-05
-6.9e-05,6.8e-05
-6.3e-05,3.5e-05
-6.4e-05,3.8e-05
-7.9e-05,2.2e-05
-5.3e-05,2.9e-05
-5.5e-05,6.9e-05
-6.2e-05,6e-05
-6.6e-05,3.8e-05
-7.6e-05,-1.1e-05
-8.6e-05,-3.4e-05
-7.6e-05,-3.3e-05
-5.6e-05,-1.8e-05
-6.4e-05,3e-06
-6.4e-05,7.7e-05
-6.4e-05,0.000108
-6.9e-05,0.000109
-4.3e-05,9.8e-05
-3.8e-05,5.9e-05
-4.9e-05,5.3e-05
-5.2e-05,7.4e-05
-2.8e-05,8e-06
-3.4e-05,-6.3e-05
-3.7e-05,-6.4e-05
-4.8e-05,-3.7e-05
-4.4e-05,9e-06
-5.5e-05,3e-05
-2.7e-05,3.2e-05
-2.3e-05,8e-06
-1.2e-05,1.1e-05
-1.3e-05,1.7e-05
-8e-06,1.8e-05
-1.5e-05,-4e-06
-1.6e-05,-2.8e-05
-6e-06,-6.1e-05
-8e-06,-9.6e-05
-1.3e-05,-9.2e-05
-1.7e-05,-5.8e-05
-2.7e-05,-4.2e-05
-5.1e-05,-3e-05
-6e-05,-4e-05
-5.1e-05,-0.000115
-5.8e-05,-0.000114
-6.7e-05,-0.000109
-6.3e-05,-9.7e-05
-5.9e-05,-7.2e-05
-6.2e-05,-4.2e-05
-6.8e-05,-1.7e-05
-6.4e-05,-3.8e-05
-6e-05,-1e-05
-5.5e-05,-5.1e-05
-4.8e-05,-7.6e-05
-5.2e-05,-0.000142
-5.4e-05,-9.9e-05
-5.3e-05,-7.7e-05
-5.6e-05,-3.3e-05
-5.4e-05,-7e-06
-5e-05,3e-05
-5.1e-05,3.4e-05
-6.2e-05,5e-06
-5.7e-05,-5.2e-05
-7e-05,-1.7e-05
-5.6e-05,-2.6e-05
-5.8e-05,-3.9e-05
-4.7e-05,-2.8e-05
-4.3e-05,-4.5e-05
-3.9e-05,-2.1e-05
-3.4e-05,-1.6e-05
-5.3e-05,-3.7e-05
-5e-05,-6.4e-05
-4.8e-05,-5.1e-05
-5.5e-05,-6e-05
-3.8e-05,-3.8e-05
-5.5e-05,-4.5e-05
-5.9e-05,-5.8e-05
-5.2e-05,-2.9e-05
-6.4e-05,-3.8e-05
-6.8e-05,-0.000118
-3.5e-05,-7.3e-05
-1.1e-05,2e-05
-1.4e-05,4e-06
9e-06,3.1e-05
3.1e-05,3.3e-05
5.5e-05,5.7e-05
7e-05,9.8e-05
9.2e-05,4.7e-05
0.000111,5.4e-05
0.000128,0.000113
0.00015,0.000151
0.000156,0.000165
0.000173,0.00013
0.00016,0.000108
0.000178,0.000133
0.000175,0.00011
0.000181,0.000124
0.000183,0.000146
0.000182,0.000157
0.000193,0.000122
0.00019,0.000143
0.000184,7e-05
0.000187,5e-05
0.0002,3.6e-05
0.000182,5.1e-05
0.00018,2.5e-05
0.000169,6e-06
0.000168,4.2e-05
0.000147,0.000106
0.000117,0.000124
0.000101,3.9e-05
9.7e-05,7.9e-05
7e-05,0.000113
6.3e-05,8.9e-05
4.6e-05,7.2e-05
2.1e-05,2.5e-05
2.2e-05,1.2e-05
8e-06,-3.5e-05
4e-06,-7.6e-05
-1.1e-05,-0.000106
-8e-06,-0.000123
-9e-06,-0.000127
-2.7e-05,-0.000158
