EEG_Fp1,EEG_Fp2
-5.5e-05,-8.5e-05
-5.8e-05,-0.000103
-3.6e-05,-8.8e-05
-4.6e-05,-9e-05
-5.7e-05,-9.3e-05
-5.4e-05,-8.6e-05
-5.7e-05,-0.0001
-6.5e-05,-0.000127
-5.7e-05,-0.000105
-7.2e-05,-0.000117
-6.3e-05,-0.000115
-4.9e-05,-0.00011
-4.8e-05,-0.000114
-3.4e-05,-9.3e-05
-5.5e-05,-0.000109
-6e-05,-0.000114
-6.1e-05,-0.000122
-5.6e-05,-0.000125
-5.9e-05,-0.00013
-5.7e-05,-0.000127
-3.9e-05,-0.000112
-5.4e-05,-0.000126
-3.7e-05,-0.000117
-1e-05,-0.000102
-4.5e-05,-0.000143
-3.2e-05,-0.000128
-2.9e-05,-0.000118
-2.9e-05,-0.000102
-3.3e-05,-0.000117
-1e-06,-8.3e-05
-2.1e-05,-9.4e-05
-4.6e-05,-0.000123
-2.6e-05,-0.000107
-1e-05,-9.8e-05
-1e-06,-0.000105
-1.9e-05,-0.000117
-2.1e-05,-0.000103
8e-06,-8.1e-05
-2e-06,-8.2e-05
-1.4e-05,-0.000101
-3e-05,-0.00011
-4.9e-05,-0.000136
-2.7e-05,-0.000113
-2.8e-05,-0.00012
-1.9e-05,-0.000109
1.2e-05,-7.7e-05
8e-06,-8e-05
3e-06,-9.4e-05
2.5e-05,-8.1e-05
4e-06,-0.000103
7e-06,-9e-05
1.3e-05,-8e-05
4e-06,-8.9e-05
3.4e-05,-5.6e-05
3e-06,-9.6e-05
2.7e-05,-7.2e-05
2.1e-05,-9.1e-05
2.7e-05,-8.5e-05
3.1e-05,-8.1e-05
3.6e-05,-7.3e-05
3.5e-05,-7.2e-05
1.5e-05,-9.7e-05
2.1e-05,-0.000104
4.2e-05,-8.4e-05
4.6e-05,-9.3e-05
2.1e-05,-0.000117
3.8e-05,-8.7e-05
3.4e-05,-0.000101
2e-05,-0.000113
1.4e-05,-0.000117
1.3e-05,-0.000121
4.7e-05,-9.4e-05
4.6e-05,-8.4e-05
1.7e-05,-0.000109
1.4e-05,-0.000114
1.8e-05,-9.8e-05
3.7e-05,-9.2e-05
1.7e-05,-0.000101
1.9e-05,-8.6e-05
3.3e-05,-8.5e-05
2.5e-05,-8e-05
1.8e-05,-8.7e-05
1.7e-05,-9.5e-05
4.9e-05,-5.5e-05
4.2e-05,-6.3e-05
2.9e-05,-7.8e-05
1.7e-05,-9.4e-05
3.7e-05,-7.8e-05
2.2e-05,-9e-05
3.6e-05,-7.2e-05
3.8e-05,-8.4e-05
1.3e-05,-0.000106
2.3e-05,-9.9e-05
3.4e-05,-8.9e-05
6e-06,-0.000104
1.7e-05,-9e-05
2.4e-05,-7.6e-05
1.3e-05,-9.7e-05
6e-06,-9.8e-05
2.7e-05,-9.1e-05
