EEG_Fp1,EEG_Fp2
0.000177,0.000167
0.000195,0.000139
0.00019,0.000112
0.000172,0.0001
0.000157,0.000142
0.0001,4.8e-05
0.000128,0.000132
0.000173,0.000169
0.000111,9.5e-05
7.1e-05,9.4e-05
3.3e-05,8e-05
-1e-06,4.2e-05
5e-05,0.000116
8.4e-05,0.000111
2.6e-05,0.000106
8.1e-05,0.000156
-1.8e-05,6.2e-05
3.1e-05,0.000158
2.3e-05,8.4e-05
2.8e-05,0.000177
2.1e-05,9.8e-05
-1.6e-05,0.000145
-2.2e-05,0.000122
-4.3e-05,0.00011
-6.3e-05,0.000114
-5.1e-05,0.000134
7e-06,0.000182
-2.6e-05,0.000148
-1.3e-05,0.0002
-4.5e-05,0.000142
2.5e-05,0.000233
5e-06,0.000222
-9.6e-05,0.000132
-1.8e-05,0.000237
-3.1e-05,0.000213
-4.5e-05,0.000214
-2.9e-05,0.000235
-1.7e-05,0.000238
-9e-05,0.000186
-8e-06,0.000258
-7.1e-05,0.000235
-7.3e-05,0.000235
-5e-05,0.000249
-0.000102,0.00023
-3.8e-05,0.000273
-7.4e-05,0.000238
-4.2e-05,0.000276
-3.7e-05,0.000307
-8.5e-05,0.000227
-7.6e-05,0.000263
-4.2e-05,0.000286
-6.1e-05,0.000308
1.1e-05,0.000332
-8.2e-05,0.00028
-0.000115,0.000224
-2.5e-05,0.000336
-9e-05,0.000255
-0.000138,0.000279
-8e-05,0.00024
-7.4e-05,0.000264
-9.2e-05,0.000297
-7.1e-05,0.000274
-9.7e-05,0.000246
-8.2e-05,0.000291
-2.3e-05,0.000321
-0.000101,0.000287
-0.000117,0.000248
-8.5e-05,0.000319
-1.7e-05,0.000272
-9.5e-05,0.000302
-7.6e-05,0.000258
-0.000127,0.00023
-8e-06,0.000339
-6.8e-05,0.000271
-0.000135,0.000233
-0.000106,0.00021
-2.6e-05,0.000314
-2.1e-05,0.000301
-8.6e-05,0.000271
-0.000107,0.000215
-0.000112,0.000219
1.8e-05,0.000344
-8.4e-05,0.000256
-8.9e-05,0.000207
-6.1e-05,0.000238
-0.000112,0.000235
-5.7e-05,0.000277
-0.000106,0.000185
-6.6e-05,0.000245
-6.1e-05,0.000268
-6.6e-05,0.000252
-0.000123,0.000211
-4.2e-05,0.000228
-3.2e-05,0.000245
-4.1e-05,0.000275
-4.7e-05,0.000245
-0.000165,0.000149
-3.4e-05,0.000197
-7.9e-05,0.00028
-6.3e-05,0.000197
-9.3e-05,0.00018
-9.3e-05,0.000196
-5e-05,0.000242
-3e-05,0.000221
-5.9e-05,0.00018
-0.000115,0.000145
-3.8e-05,0.000212
-6e-05,0.000189
-6.9e-05,0.000181
-8.9e-05,0.000136
-5.5e-05,0.000198
-1.1e-05,0.000205
-6.5e-05,0.000198
-9.8e-05,0.000119
-7.4e-05,0.000162
-7.2e-05,0.000178
-5.1e-05,0.000152
-9.8e-05,0.000165
-8.3e-05,0.000144
-1.4e-05,0.000161
-6e-05,0.000213
-6.8e-05,0.000135
-8.6e-05,0.000105
-6.7e-05,0.000132
-7.8e-05,0.000111
-2.4e-05,0.000146
-2.7e-05,0.000151
-6e-05,0.000106
-6.8e-05,0.000171
-3.7e-05,9.8e-05
-5.2e-05,0.00015
-7.8e-05,0.000103
-1.4e-05,0.000114
-5e-05,0.00012
-4.2e-05,0.000158
-6.9e-05,9e-05
-6.3e-05,0.000121
-6.1e-05,9.1e-05
-8e-05,0.000128
-6.3e-05,0.000103
-3.4e-05,7.9e-05
-7e-06,0.000144
-9.5e-05,5.1e-05
-3e-06,0.000126
-0.000124,4.2e-05
-2e-05,0.00014
-6.3e-05,5.7e-05
-8.1e-05,9.6e-05
-3.8e-05,8e-05
-1.5e-05,0.000108
2e-06,0.000124
-8.8e-05,2.8e-05
-0.000103,7.7e-05
-5.5e-05,4.7e-05
-4.1e-05,7.6e-05
-2.9e-05,8.5e-05
-9.6e-05,2.5e-05
-5.1e-05,3.3e-05
-3.3e-05,4.2e-05
-1.6e-05,3.5e-05
-2e-05,6.8e-05
-3.5e-05,4.6e-05
-3.7e-05,8.2e-05
-6.9e-05,8e-06
-8.4e-05,1.9e-05
-6.5e-05,2.3e-05
5e-06,8.5e-05
-1.5e-05,9.6e-05
-8.7e-05,-2.4e-05
-8e-05,-1e-05
-4.9e-05,4.5e-05
-5e-05,3.1e-05
-6.7e-05,4.2e-05
-4e-05,3.8e-05
-4.7e-05,3.5e-05
-4.7e-05,3.2e-05
-5.5e-05,4.2e-05
-5.9e-05,-9e-06
-5.6e-05,1.8e-05
-1.3e-05,2.1e-05
-5.6e-05,3e-06
-6.7e-05,-1e-05
-3.8e-05,1.9e-05
-2.5e-05,8e-06
-3.1e-05,2.3e-05
-4.2e-05,8e-06
-4.3e-05,1e-06
-1.3e-05,2.8e-05
1e-06,2.4e-05
-0.000103,-5e-05
-5.9e-05,3.4e-05
-2.7e-05,7e-06
-2e-05,1.3e-05
-6.7e-05,-3.2e-05
-5.1e-05,-2.8e-05
-6.5e-05,-3.3e-05
-1.7e-05,-1e-05
-5.4e-05,-4.6e-05
-4.5e-05,-5.8e-05
-5.7e-05,-9.3e-05
-4.8e-05,-8.2e-05
-5.6e-05,-0.000117
-5.1e-05,-8.8e-05
-8.1e-05,-0.000132
-3.5e-05,-0.000103
-4.1e-05,-0.000116
-1.6e-05,-0.000102
-2.8e-05,-0.000122
-1.3e-05,-9.8e-05
-2.8e-05,-0.000122
-6.7e-05,-0.000191
-5.1e-05,-0.000168
2e-05,-0.000121
-2.5e-05,-0.000141
-1.8e-05,-0.000159
-5e-06,-0.000162
-8e-06,-0.000168
-3.3e-05,-0.000149
-1.7e-05,-0.000174
-3.8e-05,-0.00019
-4.8e-05,-0.000215
-2e-05,-0.00019
1e-06,-0.000171
-3.7e-05,-0.000215
-1.2e-05,-0.000195
-6e-06,-0.000172
1.8e-05,-0.000156
-4.4e-05,-0.00022
-5.5e-05,-0.000211
-9e-06,-0.000171
3.8e-05,-0.000138
-2.4e-05,-0.000195
-8e-06,-0.000181
-2.2e-05,-0.00018
3.1e-05,-0.000145
2e-06,-0.00015
-1.8e-05,-0.000173
2.8e-05,-9.1e-05
1.7e-05,-0.000172
-4.9e-05,-0.000171
-3.3e-05,-0.000165
3.6e-05,-0.000138
-4e-06,-0.000137
1.1e-05,-0.000173
-4.2e-05,-0.000201
-8e-06,-0.00014
-1.1e-05,-0.000161
3.2e-05,-0.000108
-8e-06,-0.000135
-1.6e-05,-0.000151
-1.7e-05,-0.00014
3.4e-05,-9.1e-05
3.8e-05,-0.000113
7e-06,-0.000115
7e-05,-6.9e-05
1.5e-05,-0.000103
4.2e-05,-6.6e-05
2.2e-05,-8.9e-05
-2.6e-05,-0.000115
4.4e-05,-5.7e-05
5.3e-05,-6.6e-05
5e-06,-6.9e-05
-1.3e-05,-0.00012
3.1e-05,-4.8e-05
9.1e-05,1.9e-05
3.4e-05,-3.1e-05
6.4e-05,-3.9e-05
4.4e-05,-4e-06
-5.4e-05,-0.000114
1.2e-05,-2.8e-05
4.8e-05,-2.1e-05
-2.9e-05,-6.6e-05
7.5e-05,-9e-06
4.2e-05,-1.3e-05
4e-05,-2.2e-05
5e-05,-2.7e-05
-7e-06,-8e-06
-8e-06,-6.5e-05
-3.5e-05,-6.4e-05
-3e-05,-6.6e-05
6.6e-05,1.1e-05
4e-06,-3.5e-05
3.9e-05,-1.8e-05
3.4e-05,-1.9e-05
4e-06,-8e-06
5.3e-05,3.3e-05
2.6e-05,-4e-06
8e-06,-1.2e-05
-4e-06,-2.2e-05
4.8e-05,1.9e-05
1.3e-05,-7e-06
6e-06,-8e-06
1.2e-05,-5e-06
6.7e-05,5.2e-05
3.2e-05,3.3e-05
2.1e-05,0.0
1e-06,-1.4e-05
2.2e-05,1.5e-05
5e-05,1.3e-05
3.5e-05,1.6e-05
2e-06,-2.2e-05
2.5e-05,-2e-06
3.4e-05,9e-06
2.5e-05,-7e-06
-8e-06,-1.7e-05
1.9e-05,1.2e-05
2.4e-05,0.0
2.7e-05,0.0
-1.8e-05,-2.9e-05
-2e-06,-3.4e-05
2.2e-05,1.1e-05
2.5e-05,1.3e-05
3e-06,-1e-05
-1.1e-05,-5e-06
-2e-05,-5e-06
2.8e-05,2.5e-05
2.7e-05,3e-05
4e-06,-2e-06
1.1e-05,-0.0
2.2e-05,1.3e-05
2e-05,-3e-06
-6e-06,-2.5e-05
-2.8e-05,-4.1e-05
2.1e-05,-4e-06
4.3e-05,4.3e-05
6e-06,-2.2e-05
4e-06,-1.2e-05
5.3e-05,2.5e-05
2.3e-05,9e-06
-1.5e-05,-3.2e-05
-2.3e-05,-2.7e-05
-1e-06,-3e-06
1.8e-05,9e-06
3e-06,-3e-06
-1e-05,-2.1e-05
-8e-06,4e-06
1.5e-05,3.2e-05
1.1e-05,1.9e-05
-4e-06,0.0
-1.6e-05,9e-06
-1e-06,-6e-06
9e-06,2.9e-05
6e-06,5e-06
-3.5e-05,-1e-05
-2.1e-05,1e-06
3e-06,1.2e-05
-0.0,1e-05
-2.4e-05,-2e-05
-7e-06,5e-06
1.8e-05,2.4e-05
-1.3e-05,-2e-06
-1.1e-05,-1e-06
-6e-06,9e-06
0.0,1.3e-05
-7e-06,0.0
-3.3e-05,-1.8e-05
-1.5e-05,2e-06
2e-05,3.1e-05
1.7e-05,2.1e-05
-2.7e-05,-9e-06
-2.3e-05,-1e-05
4e-06,7e-06
6.6e-05,6.6e-05
-2e-05,-1.3e-05
-2.1e-05,-1e-05
9e-06,1e-06
8e-06,1.3e-05
-5e-06,-1e-06
-1e-05,-3.1e-05
-1.1e-05,-1.2e-05
1.6e-05,3e-06
1e-06,-2e-05
4e-06,-1.8e-05
9e-06,-7e-06
2.6e-05,-8e-06
3.1e-05,-2.3e-05
-1.4e-05,-4.7e-05
6e-06,-9e-06
2.3e-05,-2.2e-05
7e-06,-2.5e-05
4e-06,-4.2e-05
-4.2e-05,-8.5e-05
-4e-06,-5.6e-05
-1.2e-05,-5.8e-05
0.0,-7.2e-05
0.000126,-4e-06
4e-06,-6e-05
8.9e-05,-1.9e-05
7.7e-05,3e-06
7.5e-05,-4.3e-05
1.4e-05,-7.3e-05
0.000122,3.8e-05
8.8e-05,-1.9e-05
-1e-06,-7.6e-05
0.000113,8e-06
0.000106,7e-06
2.1e-05,-6.8e-05
4.9e-05,-4.8e-05
4.2e-05,-4.2e-05
3e-05,-7.3e-05
0.000102,-1.6e-05
0.000177,5.9e-05
2.8e-05,-3.4e-05
3.9e-05,-6.3e-05
5.1e-05,-1.6e-05
7.5e-05,-5e-06
0.00013,5.2e-05
0.000104,4.5e-05
6e-05,3e-06
3e-06,-3e-05
6.2e-05,-6e-06
0.000109,2.4e-05
8e-05,2.7e-05
0.000122,7.8e-05
-1.2e-05,-6.3e-05
1e-06,-1.3e-05
0.000111,9e-05
2.8e-05,-1.6e-05
3.8e-05,-7e-06
1.4e-05,4.5e-05
8.5e-05,2.8e-05
5.1e-05,5.2e-05
0.000103,0.000106
-7.9e-05,-4.6e-05
3.9e-05,5e-06
6.6e-05,4.6e-05
4.5e-05,2.5e-05
3e-06,3.4e-05
5e-05,1.6e-05
-3.9e-05,-2e-06
1.6e-05,1.1e-05
4.1e-05,1.2e-05
6.1e-05,3e-05
5e-05,5.6e-05
7e-06,-1.5e-05
3.2e-05,5.1e-05
-1.3e-05,-3e-06
3.6e-05,4.9e-05
1.7e-05,3.5e-05
1.6e-05,1.1e-05
8e-06,1.1e-05
3.3e-05,6e-06
7.4e-05,8.4e-05
7.5e-05,7.3e-05
3.4e-05,4.2e-05
