EEG_Fp1,EEG_Fp2
1.4e-05,6.6e-05
-3.3e-05,1.3e-05
-5.6e-05,-2e-05
-3.1e-05,8e-06
1.7e-05,5.8e-05
4e-06,4.5e-05
-8e-05,-4.1e-05
-3.7e-05,-1.2e-05
1.1e-05,4.4e-05
-6e-06,2.3e-05
-7.6e-05,-4.6e-05
-4.2e-05,-1.7e-05
1.3e-05,3.2e-05
8e-05,9.7e-05
4.2e-05,5.9e-05
1.2e-05,3.2e-05
8e-05,7.6e-05
0.000132,0.000126
9.1e-05,0.000106
5.6e-05,7.3e-05
0.000107,0.000123
0.000172,0.000187
0.000141,0.000177
8.1e-05,0.000119
0.000135,0.000145
0.000198,0.000196
0.000211,0.000199
0.000154,0.000153
0.000204,0.000198
0.000271,0.000235
0.000152,0.000122
0.000168,0.000147
0.000208,0.000185
0.000147,0.000137
0.000171,0.000159
0.000123,0.000116
7.5e-05,7.4e-05
0.000116,0.000115
0.000173,0.000176
0.000113,0.000144
6.8e-05,0.000122
4e-05,0.000102
9.2e-05,0.00015
7.2e-05,0.000137
-2e-06,7.3e-05
-3e-05,4e-05
3.8e-05,0.000107
2.3e-05,0.000108
-4.5e-05,5.9e-05
-6.3e-05,2.5e-05
2.5e-05,9.9e-05
4.8e-05,0.000125
-7e-06,9e-05
-6.8e-05,3.2e-05
-1.8e-05,6.5e-05
2.9e-05,0.00011
8e-06,9.7e-05
-4.5e-05,5.1e-05
-2.3e-05,7.6e-05
1.3e-05,0.00011
2.8e-05,0.000114
-1.3e-05,7.2e-05
-1.8e-05,6.2e-05
4.6e-05,0.000118
8e-05,0.00014
2.1e-05,0.000106
-9e-06,6.3e-05
8.6e-05,0.000157
6.7e-05,0.000129
2.4e-05,7.2e-05
-2.8e-05,1.4e-05
5.3e-05,7.7e-05
9.8e-05,0.000123
6.7e-05,0.000116
1.3e-05,5.4e-05
3.8e-05,6.9e-05
9e-05,0.000107
8.7e-05,0.000109
2.8e-05,4.6e-05
3.2e-05,3.6e-05
0.000101,0.000128
0.000103,0.000132
6.6e-05,8.3e-05
4.6e-05,5.8e-05
0.000106,0.000105
0.000124,0.000131
6.6e-05,8.4e-05
2.1e-05,4.3e-05
7.1e-05,8.4e-05
0.000131,0.000127
8.3e-05,9.1e-05
3.8e-05,4.3e-05
4.6e-05,4e-05
0.000118,9.9e-05
0.000112,0.000105
7e-05,5.2e-05
8.2e-05,4.9e-05
0.000145,0.00011
0.000159,0.00012
9.3e-05,6.3e-05
5.3e-05,2.2e-05
0.000135,7e-05
0.000159,9.2e-05
0.000108,5.6e-05
8.5e-05,3e-05
0.00013,4.9e-05
0.000167,8.3e-05
0.000152,6.8e-05
0.000102,1e-05
0.000131,2.7e-05
0.000204,8.1e-05
0.000197,8.6e-05
0.000154,3.3e-05
0.000146,1.7e-05
0.000225,7.2e-05
0.00023,7.9e-05
0.000143,4e-06
0.000142,0.0
0.000207,5.3e-05
0.000239,8e-05
0.000185,3.5e-05
0.000134,9e-06
0.000136,1.1e-05
0.000233,5.8e-05
0.000228,3.8e-05
0.000185,0.0
0.000194,-3e-06
0.000224,3.3e-05
0.000233,4.4e-05
0.000188,1.7e-05
0.00019,9e-06
0.00022,3.6e-05
0.000215,4.6e-05
0.000144,-2.8e-05
0.000148,-7e-06
0.000191,4e-05
0.000235,8e-05
0.000178,4.1e-05
0.000157,1e-05
0.000203,4.6e-05
0.000231,7.7e-05
0.000203,5.8e-05
0.000148,2e-06
0.000165,1.4e-05
0.000212,6.6e-05
0.000208,7.4e-05
0.000152,2.9e-05
0.000146,1.5e-05
0.0002,6.1e-05
0.00022,8.1e-05
0.000165,2.6e-05
0.000138,-1e-05
0.000188,4.6e-05
0.000215,7.2e-05
0.000172,4.2e-05
0.000145,1.1e-05
0.00017,2.6e-05
0.000226,7.5e-05
0.000188,5.1e-05
0.000147,5e-06
0.000175,2.4e-05
0.000224,6.5e-05
0.000222,6.5e-05
0.000153,1.4e-05
0.00012,-7e-06
0.000184,3.7e-05
0.000223,7.2e-05
0.000163,2.3e-05
0.000122,-1.1e-05
0.00017,3.6e-05
0.000232,8.9e-05
0.000185,5.4e-05
0.000142,1.9e-05
0.000189,5.7e-05
0.000226,8.9e-05
0.000176,6.7e-05
0.000114,0.0
0.000163,1.6e-05
0.000211,7e-05
0.000192,6.9e-05
0.000141,2.4e-05
0.000136,1.5e-05
0.000194,6.4e-05
0.000206,8.6e-05
0.000144,2.9e-05
0.000114,-4e-06
0.000186,5.9e-05
0.000207,8.6e-05
0.000171,5.3e-05
0.000134,2.1e-05
0.000181,6e-05
0.000223,9.4e-05
0.000201,8.5e-05
0.000143,3.9e-05
