EEG_Fp1,EEG_Fp2
1.5e-05,3.6e-05
-1e-05,3e-05
1.5e-05,5.9e-05
3.5e-05,8.3e-05
3.7e-05,9.8e-05
1.2e-05,7.3e-05
1.3e-05,8.7e-05
2.5e-05,0.000106
3.7e-05,0.000124
1.2e-05,9.6e-05
-1e-06,8.9e-05
7e-06,0.000118
2.9e-05,0.000135
9e-06,0.000123
-1e-05,0.000108
9e-06,0.000143
2.1e-05,0.000141
-6e-06,0.000132
-8e-06,0.000146
7e-06,0.000166
1.3e-05,0.000167
1e-05,0.000139
-1.6e-05,0.000114
-2.8e-05,0.000108
9e-06,0.000139
1.1e-05,0.000138
-1.6e-05,0.000109
-3e-05,0.000101
-9e-06,0.000134
-5e-06,0.000132
-2.6e-05,0.00013
-4.2e-05,0.00011
-2.1e-05,0.000138
4e-06,0.000162
-1.3e-05,0.000155
-3.4e-05,0.000136
-2.2e-05,0.000152
7e-06,0.000185
2e-06,0.00018
-2.5e-05,0.000166
-2.5e-05,0.000171
-3e-06,0.000199
0.0,0.000199
-2.1e-05,0.000181
-3.6e-05,0.000169
-2.1e-05,0.000192
-5e-06,0.000214
-4.1e-05,0.000173
-4e-05,0.000183
-2.2e-05,0.000203
-4e-06,0.000219
-8e-06,0.000211
-3.6e-05,0.000183
-2.9e-05,0.000194
-9e-06,0.000225
-1.3e-05,0.000205
-2.4e-05,0.000201
-2.5e-05,0.000193
-6e-06,0.000194
3e-06,0.000212
-2.9e-05,0.000191
-2.9e-05,0.000191
-1.1e-05,0.000215
-0.0,0.000223
-2.2e-05,0.000203
-2.5e-05,0.000202
-3e-06,0.000213
6e-06,0.000221
-1.3e-05,0.000199
-3.3e-05,0.00019
-1.4e-05,0.000197
8e-06,0.000215
-6e-06,0.000219
-2.8e-05,0.000189
-1.9e-05,0.000197
5e-06,0.000218
-2e-06,0.000203
-2.3e-05,0.000178
-3e-05,0.000187
-2.2e-05,0.000194
-2.8e-05,0.000208
-3.4e-05,0.000183
2e-06,0.000211
1.8e-05,0.000227
2.9e-05,0.000224
2.7e-05,0.000222
3.8e-05,0.000219
4.8e-05,0.000225
7e-05,0.000249
6.1e-05,0.000223
4.6e-05,0.000216
5.3e-05,0.000219
5.4e-05,0.000221
5.8e-05,0.000222
3.6e-05,0.000195
3.5e-05,0.000198
5.7e-05,0.000222
5.3e-05,0.000223
3.3e-05,0.000191
2.2e-05,0.000188
2.3e-05,0.000199
3.7e-05,0.000218
1.6e-05,0.000202
8e-06,0.000183
1.1e-05,0.000193
4e-05,0.000207
3.2e-05,0.000203
1e-06,0.000181
0.0,0.000182
2.7e-05,0.000196
3.9e-05,0.000212
1.8e-05,0.000185
2e-06,0.000174
2e-05,0.000191
3.1e-05,0.000212
5e-06,0.000179
-1.5e-05,0.00017
7e-06,0.000177
2.5e-05,0.000207
1.2e-05,0.000188
-3e-06,0.000177
9e-06,0.000193
2e-05,0.0002
2.4e-05,0.0002
1e-06,0.000168
4e-06,0.000174
1.4e-05,0.000188
1.1e-05,0.000186
-8e-06,0.000157
-1.6e-05,0.000145
-7e-06,0.000169
1.9e-05,0.000181
2.1e-05,0.000184
-7e-06,0.000167
-4e-06,0.00018
2.9e-05,0.000195
2.4e-05,0.000176
-4e-06,0.000147
3e-06,0.000174
2.2e-05,0.00018
2.5e-05,0.000167
-5e-06,0.000155
-3e-06,0.000153
5e-06,0.000159
3.4e-05,0.000179
7e-06,0.000156
-5e-06,0.000144
3e-06,0.000155
1.5e-05,0.00016
3e-06,0.000147
-1e-05,0.000132
-2e-06,0.000137
-0.0,0.000132
-1.2e-05,0.000139
-1.6e-05,0.000124
-1.9e-05,0.000114
3e-06,0.000129
-0.0,0.000113
-3.1e-05,7.5e-05
-3.6e-05,5e-05
-1e-06,6.5e-05
-1.6e-05,4.6e-05
-4.4e-05,-8e-06
-5.9e-05,-2.2e-05
-2.3e-05,3e-06
-2.1e-05,2e-06
-2.1e-05,-6e-06
-4.2e-05,-2.7e-05
-2.9e-05,-1.3e-05
-1e-05,1.6e-05
-2.3e-05,9e-06
-3.7e-05,-2e-06
-2.7e-05,1.1e-05
-2.1e-05,1.4e-05
-2.3e-05,1e-05
-3.8e-05,-9e-06
-4.6e-05,-9e-06
-2.2e-05,1.2e-05
-1.9e-05,1.8e-05
-3.4e-05,-4e-06
-5.2e-05,-1.7e-05
-4.3e-05,2e-06
-1.8e-05,1.5e-05
-2.8e-05,0.0
-5e-05,-5e-06
-3.4e-05,1.1e-05
-2.6e-05,1.8e-05
-4.2e-05,2.2e-05
-5.1e-05,5e-06
-4.1e-05,1.5e-05
-1.7e-05,3.1e-05
-1e-05,1.7e-05
-2.7e-05,1.2e-05
-3.2e-05,1.2e-05
-1.6e-05,3.6e-05
-6e-06,3.9e-05
-2.5e-05,2.3e-05
-3.8e-05,1.2e-05
