EEG_Fp1,EEG_Fp2
8.1e-05,7.2e-05
7.8e-05,6.3e-05
6.8e-05,6.2e-05
7.2e-05,7.2e-05
6.5e-05,6.1e-05
7e-05,6e-05
5.4e-05,3.5e-05
4.4e-05,-9e-06
4e-05,-3e-06
4.7e-05,4.4e-05
3.8e-05,6.8e-05
4.8e-05,6.5e-05
5.3e-05,4.4e-05
5e-05,2.8e-05
5.9e-05,2.4e-05
4.4e-05,2e-05
3.7e-05,2.7e-05
4.3e-05,-1.4e-05
3.3e-05,-4e-06
3.2e-05,2.4e-05
3.8e-05,5.3e-05
4.3e-05,4.5e-05
5.9e-05,4.9e-05
4.8e-05,3.4e-05
4.4e-05,2.7e-05
2.7e-05,9e-06
1.1e-05,-3.6e-05
1.4e-05,-1.5e-05
3.5e-05,2.9e-05
2.4e-05,3.1e-05
1.5e-05,1.3e-05
6e-06,1.8e-05
-8e-06,-0.0
4e-06,-7e-06
2.6e-05,-3.6e-05
3.4e-05,-7e-06
3.7e-05,2e-05
2.2e-05,2.7e-05
3e-06,3e-05
2e-05,2e-06
5.2e-05,-2.4e-05
5.3e-05,1.7e-05
5e-05,2.1e-05
4.8e-05,1.6e-05
4e-05,2e-06
2.4e-05,-7e-06
1.9e-05,-2e-06
1.7e-05,5e-06
1.8e-05,-2.1e-05
5e-06,-3.1e-05
-8e-06,-8e-05
-3e-06,-5.6e-05
1e-05,2e-05
-1.4e-05,1.5e-05
5e-06,-1.3e-05
-2e-06,-4.9e-05
-1.7e-05,-3.5e-05
-4e-06,-2e-05
4e-06,-3e-05
-2.8e-05,-5.2e-05
-2.7e-05,-5.4e-05
-1.3e-05,-4.6e-05
-2.1e-05,-3.4e-05
-2.9e-05,-3.8e-05
-2.8e-05,-4.7e-05
-2.4e-05,-5.3e-05
-2.5e-05,-5.4e-05
-3e-05,-4.4e-05
-2.4e-05,-4.6e-05
-2.6e-05,-4.4e-05
-1.5e-05,-5.7e-05
-2.4e-05,-4.2e-05
-2.7e-05,-2.5e-05
-1e-05,-2.2e-05
-7e-06,-6e-06
-9e-06,-1.5e-05
-7e-06,-1.8e-05
-2e-05,-3.1e-05
-1.3e-05,-3.1e-05
-1.2e-05,-4.6e-05
-1.2e-05,-4.7e-05
-1.7e-05,-3.1e-05
-2.7e-05,-2.5e-05
-2.9e-05,-2.4e-05
-1.4e-05,-3e-05
3e-06,-4.4e-05
-2e-06,-5.2e-05
0.0,-1.4e-05
9e-06,2e-06
-4e-06,-2.7e-05
-1.1e-05,-3.5e-05
-1.4e-05,-2.3e-05
-1e-06,2e-06
1e-06,4e-06
-2e-06,4e-06
-6e-06,-8e-06
2e-06,-2.1e-05
-1.4e-05,-3e-05
7e-06,-2e-05
6e-06,-3e-06
-1e-06,-8e-06
2e-06,-2.1e-05
-6e-06,-4.4e-05
-0.0,-2.2e-05
3e-06,-1e-05
-1.3e-05,0.0
-1.7e-05,0.0
3e-06,1.4e-05
1e-06,1e-05
2e-06,-4e-06
7e-06,-1.7e-05
1e-05,-3.2e-05
-5e-06,-1.5e-05
3e-06,-1e-05
4e-06,2.7e-05
2e-06,7e-06
5e-06,1e-06
4e-06,4e-06
1.6e-05,2.8e-05
1.2e-05,2.5e-05
1.8e-05,5e-06
3e-06,-3.3e-05
4e-06,-2.2e-05
1.9e-05,2.1e-05
5e-06,3.7e-05
1.7e-05,2.4e-05
3.2e-05,2.6e-05
3e-05,3.1e-05
2.7e-05,1.9e-05
2.4e-05,1.3e-05
2.2e-05,1.1e-05
2.6e-05,-4e-06
1e-05,-8e-06
2.1e-05,-1e-06
4.1e-05,5.7e-05
3e-05,4.8e-05
1.2e-05,2.9e-05
8e-06,1.4e-05
2.9e-05,1.1e-05
3e-05,1.8e-05
2.4e-05,-1.2e-05
3.6e-05,2.9e-05
2.4e-05,5.5e-05
3.7e-05,5.1e-05
4.6e-05,4.3e-05
3.7e-05,1.8e-05
4.5e-05,3.9e-05
5.9e-05,4.6e-05
4.7e-05,2.8e-05
3.9e-05,2.5e-05
1.6e-05,-1.4e-05
1.6e-05,7e-06
2.6e-05,4.5e-05
5.6e-05,8.4e-05
5.5e-05,7.6e-05
5.8e-05,6.1e-05
5.9e-05,4.3e-05
3.7e-05,1.2e-05
5.2e-05,4.5e-05
5.9e-05,5.9e-05
5.7e-05,4.9e-05
4.5e-05,6.8e-05
5.9e-05,5.5e-05
6.1e-05,7.6e-05
7.7e-05,8.3e-05
6.4e-05,6.5e-05
6.1e-05,5.6e-05
6.8e-05,6.6e-05
5.6e-05,6.3e-05
6.9e-05,6.9e-05
5.5e-05,3.9e-05
5e-05,4.9e-05
5.9e-05,3e-05
5.8e-05,6.3e-05
5.5e-05,6.8e-05
5.4e-05,6.2e-05
6.5e-05,7.9e-05
6.4e-05,7.1e-05
5.5e-05,6.7e-05
4.8e-05,5.8e-05
4.3e-05,5.3e-05
4.2e-05,3.2e-05
4e-05,4e-05
3.7e-05,3.8e-05
4.2e-05,4.2e-05
5.4e-05,4.8e-05
4.1e-05,5.1e-05
5.8e-05,5.2e-05
5.5e-05,5.6e-05
4.8e-05,5.6e-05
5.1e-05,7.5e-05
5.5e-05,6.3e-05
4.2e-05,5e-05
4.6e-05,5.3e-05
7.2e-05,5.5e-05
5.7e-05,6.9e-05
5.1e-05,5.8e-05
4.8e-05,5.6e-05
4e-05,3e-05
5.1e-05,5.6e-05
3.8e-05,4e-05
4.1e-05,3.6e-05
4.7e-05,3.5e-05
2.1e-05,1.5e-05
1.4e-05,2.7e-05
5.2e-05,7.7e-05
4.7e-05,6.2e-05
3.1e-05,4.3e-05
2.2e-05,1.2e-05
1.6e-05,2.4e-05
2e-05,4.2e-05
1.1e-05,2.9e-05
-3e-06,2.9e-05
-1e-05,2.5e-05
-1.3e-05,3.7e-05
-3.3e-05,2.8e-05
-3.2e-05,1.4e-05
-3.6e-05,-1e-05
-3.3e-05,-1e-05
-3.2e-05,-1e-05
-3.3e-05,-1.3e-05
-2.9e-05,0.0
-2.9e-05,1e-06
-2.2e-05,8e-06
-2.5e-05,-1.3e-05
-2.1e-05,-1.1e-05
-2.3e-05,-1.9e-05
-2e-05,-9e-06
-1.5e-05,1.7e-05
-1e-06,3.4e-05
-1.3e-05,-2e-06
-1.9e-05,-3e-05
-1e-06,-5e-06
-7e-06,2e-06
-4e-06,1.2e-05
-3e-06,9e-06
8e-06,1.9e-05
-0.0,1e-05
-1.5e-05,-1.6e-05
-5e-06,-2e-06
1e-06,8e-06
0.0,1e-05
5e-06,1.1e-05
0.0,1.2e-05
-1e-06,-3e-06
2e-06,-4e-05
-3e-06,-4.6e-05
-7e-06,-1.3e-05
7e-06,2.5e-05
1.4e-05,3.1e-05
1.4e-05,2.8e-05
2.1e-05,3.4e-05
2.1e-05,6e-06
2e-05,4e-06
2.4e-05,1.8e-05
1.5e-05,1.1e-05
1.3e-05,-0.0
2.1e-05,-1.2e-05
3e-06,1.1e-05
1.2e-05,3.1e-05
2.5e-05,2.7e-05
1.7e-05,7e-06
3.7e-05,2.4e-05
1.8e-05,-4e-06
1.6e-05,-6e-06
1.2e-05,1.4e-05
2.4e-05,2.4e-05
2.5e-05,-4e-06
1.2e-05,-9e-06
1.3e-05,1.8e-05
9e-06,2.1e-05
1.5e-05,2.3e-05
5e-06,4e-06
9e-06,-1.5e-05
-3e-06,-2e-05
1.7e-05,-5e-06
4.5e-05,1.3e-05
4.9e-05,2.5e-05
5.2e-05,1.6e-05
6.5e-05,2.6e-05
7.7e-05,7.2e-05
8.1e-05,8.4e-05
8.3e-05,8.7e-05
0.00012,8.9e-05
0.000114,6.8e-05
0.000112,7.6e-05
9.5e-05,8.5e-05
0.000102,9.1e-05
0.000106,8.7e-05
9.1e-05,6.5e-05
8.5e-05,7.2e-05
0.000107,8e-05
0.0001,6.4e-05
9.7e-05,7.2e-05
8.1e-05,6.1e-05
8.5e-05,5.2e-05
9.7e-05,5.9e-05
7.2e-05,4.9e-05
6.5e-05,3.1e-05
8.4e-05,5.2e-05
7.5e-05,5.9e-05
7.8e-05,6.5e-05
4.7e-05,4.8e-05
7.3e-05,5.2e-05
8.4e-05,4.9e-05
6.9e-05,4.2e-05
5.1e-05,3.1e-05
6.2e-05,4.8e-05
6.5e-05,4.6e-05
6.2e-05,3.9e-05
4.7e-05,4e-06
4.6e-05,1.5e-05
5.5e-05,2.3e-05
5.6e-05,1.7e-05
4e-05,1.2e-05
2.9e-05,2.8e-05
4.1e-05,5.7e-05
5e-05,7.1e-05
5.1e-05,6.3e-05
4.5e-05,3.3e-05
5.3e-05,2.4e-05
5.3e-05,3.6e-05
5.7e-05,5.9e-05
5.9e-05,4.2e-05
5e-05,3.7e-05
6.4e-05,5.6e-05
6.4e-05,5.2e-05
4.6e-05,1.8e-05
3.4e-05,-7e-06
2.5e-05,3e-05
2.6e-05,4.5e-05
2.5e-05,3.5e-05
2.2e-05,1e-05
3.4e-05,1.5e-05
4.5e-05,2.1e-05
4.1e-05,3.2e-05
4.3e-05,5e-05
4.2e-05,6.3e-05
4.3e-05,5.3e-05
2.2e-05,3.8e-05
-4e-06,1.2e-05
2.3e-05,-8e-06
4.1e-05,2.7e-05
7.3e-05,4.2e-05
5.8e-05,3.9e-05
3.1e-05,2.6e-05
5.9e-05,4.7e-05
5.6e-05,5.3e-05
2.1e-05,4.4e-05
4e-05,3.8e-05
4.2e-05,2.4e-05
3.2e-05,2.5e-05
-6e-06,5e-06
2.7e-05,8e-06
4.1e-05,1.3e-05
3.3e-05,2.3e-05
2e-05,3.1e-05
3.8e-05,5.3e-05
4.4e-05,4.3e-05
3.1e-05,2.1e-05
-8e-06,1.1e-05
0.0,2.9e-05
3.5e-05,3.7e-05
4.5e-05,2.2e-05
3.3e-05,-2.3e-05
-2.2e-05,1e-06
4.6e-05,5.7e-05
5.5e-05,7.3e-05
2.7e-05,3.2e-05
1.3e-05,-1.8e-05
1.2e-05,-1.4e-05
6.7e-05,5.5e-05
6.8e-05,8.6e-05
5.7e-05,6.9e-05
7e-06,6.8e-05
-1e-06,5.1e-05
3.2e-05,4.2e-05
1.1e-05,3.7e-05
-3.2e-05,1.1e-05
8e-06,3.9e-05
8e-06,5.1e-05
9e-06,7.3e-05
1.4e-05,4.5e-05
6e-06,5.1e-05
-1.3e-05,5.7e-05
-4.3e-05,5.3e-05
-6.1e-05,3.9e-05
8e-06,3.7e-05
2.5e-05,2.2e-05
1e-06,4e-05
1.6e-05,4.5e-05
1.5e-05,4.2e-05
1.3e-05,8.7e-05
-8e-06,8.4e-05
-2.5e-05,5.2e-05
-2e-05,8e-06
-1e-05,3.7e-05
-4e-05,4.6e-05
-5.5e-05,5.1e-05
-2.9e-05,6.4e-05
6e-05,8.7e-05
5.9e-05,6.1e-05
3.5e-05,3.8e-05
2.3e-05,4.7e-05
2.6e-05,8.4e-05
5e-05,0.000123
5.6e-05,0.000103
3.9e-05,9.4e-05
3e-05,8.9e-05
2.1e-05,7.3e-05
2.4e-05,7.4e-05
9e-06,5.4e-05
4e-06,5.3e-05
1.9e-05,5e-05
9e-06,5.7e-05
8e-06,5.4e-05
1e-05,2e-05
-9e-06,3e-05
2e-06,4.1e-05
-6e-06,3.4e-05
-5e-06,7e-06
-2.3e-05,1.5e-05
-5e-06,3.8e-05
5e-06,4.2e-05
6e-06,2.3e-05
-8e-06,-7e-06
-1.1e-05,-9e-06
-5e-06,8e-06
-2.1e-05,-1e-05
-1e-05,-7e-06
-2.8e-05,-3.1e-05
-2.8e-05,-2.7e-05
-1.8e-05,-7e-06
-2e-05,-1.7e-05
-3e-05,-3.3e-05
-2.2e-05,-1.5e-05
-1.3e-05,-3e-05
-2.8e-05,-2.5e-05
-4.2e-05,-5.7e-05
-2.6e-05,-5.8e-05
-1.8e-05,-5.2e-05
-3.4e-05,-5.2e-05
-5.5e-05,-6.3e-05
-4.5e-05,-7e-05
-1.2e-05,-5.2e-05
-8e-06,-4.9e-05
-2.2e-05,-6.5e-05
-2.4e-05,-8.6e-05
-2.8e-05,-9.9e-05
-6e-05,-8.4e-05
-6.6e-05,-0.0001
-3.8e-05,-0.000112
-8.1e-05,-0.000122
-6.9e-05,-0.000115
-2e-05,-0.000105
-7e-06,-9.1e-05
-2.4e-05,-9.7e-05
-3.2e-05,-0.000115
-4.9e-05,-0.000128
-8e-05,-0.000145
-9.9e-05,-0.000148
-5.3e-05,-0.000107
-4.2e-05,-0.000113
-6.2e-05,-0.000137
-6.3e-05,-0.000139
-5.9e-05,-0.000134
-7.7e-05,-0.000144
-0.000105,-0.000141
-8.4e-05,-0.000122
-7.5e-05,-0.000127
-7e-05,-0.000142
-5.7e-05,-0.000133
-5.5e-05,-0.000112
-8.6e-05,-0.000152
-8.6e-05,-0.000154
-9.4e-05,-0.000153
-8e-05,-0.000138
-6.2e-05,-0.000112
-6.2e-05,-0.000113
-7e-05,-0.000143
-6.9e-05,-0.000136
-8.4e-05,-0.000149
-7.2e-05,-0.000122
-7.5e-05,-0.000132
-8.6e-05,-0.000144
-0.000118,-0.000171
-0.000112,-0.000157
-6.5e-05,-0.000146
-7.2e-05,-0.000138
-8.4e-05,-0.00012
-0.000143,-0.000153
-0.000114,-0.000129
-6.5e-05,-0.000119
-6.9e-05,-0.000106
-7.8e-05,-0.000136
-8.8e-05,-0.000136
-4.3e-05,-7.9e-05
-4.3e-05,-7.6e-05
-4.8e-05,-7.5e-05
-4.9e-05,-6.6e-05
-5.6e-05,-8.3e-05
-6.3e-05,-8.2e-05
-5.8e-05,-8.3e-05
-7.6e-05,-0.000111
-0.0001,-0.000103
-0.000143,-0.000107
-3.7e-05,-6.6e-05
-2.4e-05,-6.3e-05
-4.9e-05,-7.5e-05
-7.4e-05,-0.0001
-8e-05,-0.000122
-8.3e-05,-0.000106
-8e-05,-0.000101
-0.00012,-0.000117
-9.7e-05,-0.000106
-9.9e-05,-0.00012
-0.000111,-0.000112
-8.9e-05,-0.00011
-8.9e-05,-0.000101
-9.1e-05,-0.000103
-9.1e-05,-0.000106
-9e-05,-0.000102
-0.000105,-0.00012
-0.000123,-0.000132
-0.000102,-0.000113
-6.9e-05,-9.7e-05
-9.3e-05,-0.000131
-9.8e-05,-0.000107
-0.000121,-9.7e-05
-9.3e-05,-0.000115
-8.2e-05,-0.000102
-8e-05,-8.4e-05
-0.000106,-8.9e-05
-7.6e-05,-9.2e-05
-7.5e-05,-9.9e-05
-6e-05,-9.4e-05
-6.3e-05,-9.7e-05
-7.7e-05,-8.7e-05
-6.4e-05,-7.4e-05
-0.000118,-9.3e-05
-0.000126,-0.00015
-9.6e-05,-0.000131
-7.4e-05,-9.6e-05
-5.3e-05,-7.2e-05
-6e-05,-5.8e-05
-5.6e-05,-6.5e-05
-8.1e-05,-0.0001
-8.6e-05,-9.6e-05
-8e-05,-9.4e-05
-8.5e-05,-8.4e-05
-8e-05,-7.7e-05
-0.000101,-8.7e-05
-8.1e-05,-0.000108
-8.4e-05,-0.000127
-8.7e-05,-9.2e-05
-0.000103,-9.1e-05
-8.2e-05,-7.7e-05
-7.4e-05,-9.5e-05
-9.2e-05,-9.7e-05
-9.4e-05,-8.6e-05
-0.00011,-6.8e-05
-6.3e-05,-7.9e-05
-7.3e-05,-0.000109
-6.8e-05,-0.000105
-4.6e-05,-6.1e-05
-5.5e-05,-5.5e-05
-7e-05,-6.8e-05
-8.3e-05,-8.2e-05
-6.2e-05,-7.9e-05
-7.2e-05,-8.9e-05
-7e-05,-8.3e-05
-5.8e-05,-6.8e-05
-5.4e-05,-6.6e-05
-6.3e-05,-6e-05
-4.2e-05,-6.4e-05
-3.4e-05,-6.6e-05
-4.2e-05,-6.6e-05
-6.2e-05,-7.2e-05
-8.1e-05,-0.000102
-0.0001,-8.7e-05
-8.7e-05,-7.6e-05
-6.9e-05,-7.5e-05
-5.9e-05,-9.1e-05
-5.6e-05,-7e-05
-4.4e-05,-6.8e-05
-5.8e-05,-6.7e-05
-8.1e-05,-8e-05
-7.4e-05,-8.7e-05
-5e-05,-7.2e-05
-4.9e-05,-5.4e-05
-5.5e-05,-6.7e-05
-5.3e-05,-7.2e-05
-3.1e-05,-6.8e-05
-4.8e-05,-7.6e-05
-5.1e-05,-7.5e-05
-3.9e-05,-5.9e-05
-4.5e-05,-5.7e-05
-3.8e-05,-5.3e-05
-4.4e-05,-8.2e-05
-6.4e-05,-8.9e-05
-4.1e-05,-6e-05
-4.2e-05,-4.8e-05
-4.1e-05,-5.2e-05
-4.5e-05,-7.8e-05
-3.4e-05,-7.7e-05
-2.4e-05,-4.4e-05
-3.2e-05,-4.2e-05
-4.8e-05,-5.4e-05
-3.8e-05,-5.4e-05
-3.9e-05,-5.4e-05
-4.1e-05,-7.4e-05
-3.7e-05,-6.6e-05
-5.1e-05,-6e-05
-2.9e-05,-5.1e-05
-2.2e-05,-7.5e-05
-1.3e-05,-6.9e-05
-2.7e-05,-3.3e-05
-3.1e-05,-2.4e-05
-2.5e-05,-2.9e-05
-3.8e-05,-4.2e-05
-3e-05,-3.4e-05
-4.8e-05,-5.6e-05
-4e-05,-5.6e-05
-1.7e-05,-3.9e-05
-1.6e-05,-4.7e-05
-1.6e-05,-4.4e-05
-2.4e-05,-4.2e-05
-1.5e-05,-3.8e-05
-1e-05,-3.6e-05
-1.1e-05,-3.8e-05
-3.8e-05,-5.9e-05
-2.3e-05,-5.2e-05
-3e-06,-1.4e-05
3e-06,-6e-06
1.4e-05,2e-06
1.9e-05,-1e-05
1.5e-05,-3e-06
4.2e-05,2e-05
4.2e-05,1.9e-05
6.6e-05,3.5e-05
7.2e-05,6.6e-05
8.9e-05,3e-05
9.4e-05,6.8e-05
0.000136,0.000154
0.000163,0.000181
0.000197,0.000171
0.000203,0.000183
0.000196,0.000222
0.000218,0.000251
0.000221,0.000253
0.000238,0.000227
0.000233,0.000223
0.000221,0.000269
0.000216,0.000237
0.000168,0.000255
0.000249,0.000271
0.000262,0.000271
0.000278,0.000269
0.000263,0.000246
0.000226,0.000231
0.000201,0.000216
0.00019,0.000202
0.000157,0.000134
0.000138,0.000175
0.000132,0.000194
0.00013,0.000151
0.000127,0.000123
0.000115,0.000122
0.000115,0.000133
0.000121,0.000132
9.2e-05,0.000101
6.6e-05,7.3e-05
5.3e-05,5.4e-05
3.3e-05,4.6e-05
-6e-06,6.5e-05
2.8e-05,6.3e-05
4.4e-05,4.1e-05
4.1e-05,1.8e-05
3.6e-05,2.9e-05
2.4e-05,3.2e-05
1e-06,2.2e-05
-1.3e-05,2e-06
-2.4e-05,-1.8e-05
-3e-05,-2.7e-05
-3.4e-05,-3e-06
-2.7e-05,-1.5e-05
-6.7e-05,-2.9e-05
-4.3e-05,-3.6e-05
-3.5e-05,-4.1e-05
-4.6e-05,-5.4e-05
-5.1e-05,-5e-05
-5.8e-05,-4.9e-05
-8.3e-05,-7.1e-05
-8.2e-05,-5.7e-05
-6.1e-05,-6.3e-05
-4.3e-05,-5.6e-05
-6.7e-05,-6.3e-05
-7e-05,-7.6e-05
-7.2e-05,-8.1e-05
-8.1e-05,-7.5e-05
-8.2e-05,-8.1e-05
-9.8e-05,-0.000126
-0.000109,-0.00011
-0.000107,-7.9e-05
-8.8e-05,-7e-05
-6.9e-05,-7.7e-05
-6.2e-05,-7.8e-05
-8e-05,-8.6e-05
-8.1e-05,-0.0001
-8.8e-05,-0.000104
-8.9e-05,-0.000101
-9.6e-05,-0.000114
-0.000104,-0.000106
-0.000102,-0.000131
-8e-05,-0.000114
-8.3e-05,-9.4e-05
-8.6e-05,-9.5e-05
-9.5e-05,-0.000111
-9.6e-05,-0.00011
-6.6e-05,-9.9e-05
-7.8e-05,-0.000101
-7.4e-05,-0.000112
-9.2e-05,-0.000117
-9.3e-05,-0.000114
-9.9e-05,-0.000116
-9.1e-05,-8.7e-05
-8.5e-05,-8e-05
-8.2e-05,-8e-05
-0.000107,-0.000108
-0.000117,-0.000103
-9.7e-05,-0.00011
-8e-05,-0.000109
-8.8e-05,-9.5e-05
-6.2e-05,-9e-05
-7.2e-05,-0.000106
-8.7e-05,-0.000103
-7.6e-05,-0.000102
-9.1e-05,-0.00011
-8.5e-05,-9.7e-05
-9.4e-05,-9.5e-05
-8e-05,-7.8e-05
-7.7e-05,-0.000105
-7.3e-05,-0.000118
-8.4e-05,-7.6e-05
-9.3e-05,-8.1e-05
-4.6e-05,-7.5e-05
-4.5e-05,-6.1e-05
-5.7e-05,-5.5e-05
-6.2e-05,-9e-05
-8.9e-05,-8e-05
-7.5e-05,-5.9e-05
-5.1e-05,-6.2e-05
-4.9e-05,-7.2e-05
-5.1e-05,-7.4e-05
-6.5e-05,-7.9e-05
-7.4e-05,-0.000106
-8e-05,-9.3e-05
-9.7e-05,-7.6e-05
-7.6e-05,-7.5e-05
-4.6e-05,-7.8e-05
-5.4e-05,-7.8e-05
-5.7e-05,-7.9e-05
-6.3e-05,-7.9e-05
-7e-05,-8.6e-05
-7.9e-05,-0.000102
-6.8e-05,-7.8e-05
-5.8e-05,-7.9e-05
-6.1e-05,-7.9e-05
-6.3e-05,-5.9e-05
-8.1e-05,-6.1e-05
-7.2e-05,-6.9e-05
-5.6e-05,-8.6e-05
-5.1e-05,-7.1e-05
-4.5e-05,-6.5e-05
-5.5e-05,-7.4e-05
-5.6e-05,-6.2e-05
-5.1e-05,-6.3e-05
-4.9e-05,-5.3e-05
-6e-05,-7.1e-05
-6.2e-05,-8.1e-05
-5.8e-05,-8.3e-05
-5.5e-05,-6.8e-05
-5.7e-05,-9.7e-05
-7.1e-05,-7.4e-05
-7.7e-05,-6.4e-05
-8.4e-05,-5.9e-05
-8.7e-05,-8e-05
-9.4e-05,-9.4e-05
-0.000101,-0.000102
-0.000108,-0.000105
-0.000107,-0.000104
-0.000111,-0.000114
-0.00013,-0.000131
-0.000123,-0.000122
-0.000127,-0.000113
-0.000121,-0.000122
-0.000124,-0.000134
-0.000115,-0.000135
-0.000115,-0.000111
-0.000121,-0.000101
-0.000102,-9.5e-05
-0.000105,-0.000108
-0.000109,-0.000115
-0.000116,-0.000116
-0.000114,-0.000104
-0.000108,-0.000109
-9.5e-05,-0.00012
-0.000101,-0.000105
-0.000105,-0.000102
-0.000102,-0.000106
-9.7e-05,-9.7e-05
-0.000101,-9.4e-05
-9.8e-05,-0.0001
-0.000107,-0.000118
-0.0001,-0.000115
-9.6e-05,-0.0001
-8.4e-05,-9.6e-05
-9e-05,-0.000101
-0.000102,-0.000106
-8.7e-05,-9.4e-05
-8.4e-05,-9.8e-05
-9e-05,-0.000111
-9e-05,-0.000101
-7.4e-05,-0.000105
-6.4e-05,-0.000104
-5.5e-05,-9.1e-05
-5.3e-05,-8.7e-05
-4.4e-05,-8.4e-05
-5.1e-05,-9.7e-05
-6.2e-05,-0.000103
-5.4e-05,-9.3e-05
-4.3e-05,-0.000103
-4.7e-05,-8.8e-05
-3.9e-05,-9e-05
-4.6e-05,-8.4e-05
-4.1e-05,-7.5e-05
-4.5e-05,-7.3e-05
-4e-05,-6.6e-05
-4.3e-05,-7.4e-05
-3.9e-05,-8.8e-05
-3.4e-05,-7e-05
-3.8e-05,-6.8e-05
-5.5e-05,-7.6e-05
-4.9e-05,-7.4e-05
-4e-05,-8.4e-05
-4.7e-05,-8.5e-05
-3.5e-05,-9.8e-05
-1.8e-05,-6.3e-05
-2.4e-05,-5.2e-05
-3e-05,-5e-05
-3.1e-05,-6.2e-05
-3.4e-05,-7.6e-05
-5.3e-05,-9.5e-05
