ISI,RT,Response,Top_Number,Bottom_Number
500,1000,CR,1,1
500,1000,CR,1,2
500,1000,CR,1,3
500,1000,CR,2,1
500,1000,CR,2,2
500,1000,CR,2,3
500,1000,CR,3,1
500,1000,CR,3,2
500,1000,CR,3,3
