ISI,RT,Response,Top_Number,Bottom_Number
1000,1000,CR,1,1
1000,1000,CR,1,2
1000,1000,CR,1,3
1000,1000,CR,2,1
1000,1000,CR,2,2
1000,1000,CR,2,3
1000,1000,CR,3,1
1000,1000,CR,3,2
1000,1000,CR,3,3
