EEG_Fp1,EEG_Fp2
-2e-06,2.1e-05
-1e-06,4e-06
1.6e-05,1.3e-05
1.2e-05,6e-06
-1e-06,-2.9e-05
1e-06,-4e-06
4.1e-05,4.1e-05
3.1e-05,3e-05
1.1e-05,-1.3e-05
-3e-06,2.1e-05
1.3e-05,2.5e-05
2.7e-05,2e-05
3.1e-05,-6e-06
3.7e-05,-6e-06
2.7e-05,2.6e-05
3.8e-05,5.1e-05
4.4e-05,4.3e-05
3.2e-05,2.8e-05
2.5e-05,2.2e-05
4e-05,6.6e-05
4.6e-05,5.9e-05
3.6e-05,4.1e-05
2.5e-05,6.3e-05
7.9e-05,9e-05
8.4e-05,7.9e-05
9.5e-05,0.000114
0.000129,0.000136
0.000148,0.000162
0.00016,0.000188
0.00016,0.000133
0.000143,0.000136
0.00013,0.000155
0.000141,0.000179
0.000153,0.000173
0.000165,0.000173
0.000127,0.00013
0.000174,0.000212
0.000205,0.000238
0.000172,0.000207
0.000136,0.000156
0.000152,0.000147
0.000132,0.000135
9.1e-05,0.000143
0.0001,0.000128
8.5e-05,7.4e-05
9.3e-05,9e-05
0.000116,0.000128
0.0001,0.000133
9.5e-05,0.000117
9.3e-05,0.000106
6.4e-05,5.9e-05
3.5e-05,6e-05
1.9e-05,5.9e-05
2.5e-05,3.8e-05
6.6e-05,3e-06
7.2e-05,5.5e-05
3.1e-05,4.9e-05
3.6e-05,4.8e-05
3.4e-05,5.4e-05
1.2e-05,2.8e-05
-6e-06,8e-06
7e-06,4e-06
4.4e-05,2.7e-05
1.9e-05,3.7e-05
-2.7e-05,-9e-06
-1.1e-05,-2.1e-05
1.5e-05,-1.1e-05
1.5e-05,-2e-06
-2.1e-05,-1.2e-05
-2.1e-05,-7e-06
-1.3e-05,-1.8e-05
-1.2e-05,-2e-06
-2.3e-05,-1.6e-05
-4.4e-05,-2e-05
-2.2e-05,3e-06
-0.0,-1e-06
-2e-05,-3.1e-05
-3.8e-05,-6e-05
-5.4e-05,-5e-05
-4.7e-05,-2.8e-05
-3e-05,-7e-06
-3.1e-05,-3.6e-05
-1.8e-05,-1.7e-05
-1.4e-05,-3.8e-05
-3e-05,-7.5e-05
-6.6e-05,-7.7e-05
-7.3e-05,-4.3e-05
-3.1e-05,-2.2e-05
-3e-05,-1.7e-05
-5.6e-05,-3.6e-05
-7e-05,-5.9e-05
-5.3e-05,-3.8e-05
-2.6e-05,-2e-05
-2.2e-05,-3.4e-05
-3.6e-05,-4.1e-05
-3.4e-05,-4.2e-05
-2.3e-05,-4.9e-05
-2.8e-05,-6.1e-05
-5e-05,-5.7e-05
-5.3e-05,-6.7e-05
-4.6e-05,-2.6e-05
-1.9e-05,-1.3e-05
-1.7e-05,-3.4e-05
-2.8e-05,-2.4e-05
-3e-05,-2.3e-05
-2.9e-05,-3e-05
-3.5e-05,-4.9e-05
-6e-05,-5.4e-05
-6e-05,-5.7e-05
-6.1e-05,-6.9e-05
-5e-05,-7.3e-05
-2.2e-05,-2.8e-05
-1.7e-05,-1.2e-05
-8e-06,-6e-06
-1.7e-05,-5e-06
-6.3e-05,-4.1e-05
-5.3e-05,-5.1e-05
-3.1e-05,-3.2e-05
-1.8e-05,-2.8e-05
-3.4e-05,-5.4e-05
-4.8e-05,-5.5e-05
-1.5e-05,-3.2e-05
-7e-06,-2.5e-05
-3.7e-05,-1.8e-05
-5.3e-05,-3.4e-05
-3.2e-05,-2.9e-05
-2.4e-05,-1e-05
-4.8e-05,-2.6e-05
-5.3e-05,-6.8e-05
-3.8e-05,-4.2e-05
-1.9e-05,-2.8e-05
-1e-06,-3.1e-05
-3e-05,-4.5e-05
-5.8e-05,-5.4e-05
-5.6e-05,-6.8e-05
-5.8e-05,-3.9e-05
-3.7e-05,-2.3e-05
-3.7e-05,-2.4e-05
-1.3e-05,-1.4e-05
-1.7e-05,-3e-06
-3.2e-05,-2.3e-05
-3.1e-05,-3e-05
-2.4e-05,-5.2e-05
-2.2e-05,-5.6e-05
-2.9e-05,-5.1e-05
-5e-05,-4.1e-05
-4.7e-05,-3.7e-05
-1.5e-05,-1e-05
-2.1e-05,-1.5e-05
-3.5e-05,-2.7e-05
-6e-05,-5.4e-05
-4.7e-05,-5.8e-05
-2.1e-05,-4.5e-05
-2.1e-05,-5e-05
-1.8e-05,-3.5e-05
-1.6e-05,-1e-06
-1.3e-05,5e-06
-1.3e-05,-1e-06
-3.3e-05,-2.2e-05
-1.8e-05,-1.9e-05
-1.8e-05,-1.3e-05
-2.8e-05,-2.5e-05
-3e-05,-4.4e-05
-2.7e-05,-4e-05
-2.3e-05,-9e-06
-3.1e-05,-1.3e-05
-5e-05,-5.1e-05
-3.9e-05,-7.5e-05
-3e-06,-3.7e-05
3e-06,8e-06
-2.5e-05,-2.5e-05
-3.9e-05,-1.9e-05
-6e-06,-1e-05
-9e-06,-1.3e-05
-3.8e-05,-4.3e-05
-5.1e-05,-2.7e-05
-1e-05,-7e-06
6e-06,-1.4e-05
-4e-06,-1.1e-05
-5.4e-05,-3.9e-05
-2.7e-05,-5e-05
3e-06,-2.2e-05
-1e-06,-2.1e-05
-3e-05,-3.5e-05
-4.8e-05,-2.1e-05
-3.5e-05,-1.3e-05
-3e-06,-5e-06
-6e-06,-1.7e-05
-2.7e-05,-4.6e-05
-3e-06,-2.4e-05
8e-06,-1.3e-05
5e-06,-1.7e-05
-1.6e-05,-1.8e-05
-2.8e-05,-3e-05
-3e-06,-2e-05
-7e-06,-2e-06
-2.7e-05,-1.8e-05
-1.5e-05,-1.1e-05
1.2e-05,-2.1e-05
-2.8e-05,-2e-05
-4.4e-05,-5.9e-05
-2.4e-05,-3.3e-05
1.7e-05,1.5e-05
2.1e-05,2.5e-05
1.7e-05,1.9e-05
-9e-06,-5e-06
-1.9e-05,-2e-05
-0.0,-2.3e-05
-3e-05,-2.8e-05
-5.3e-05,-3.4e-05
-1.9e-05,-1e-05
1.5e-05,1.4e-05
8e-06,4e-06
2e-06,-1.5e-05
0.0,-1.3e-05
5e-06,1.7e-05
2e-06,2.8e-05
-6e-06,2e-06
-1.8e-05,-8e-06
9e-06,4e-06
2.6e-05,3e-05
7e-06,2.6e-05
-1e-06,1.1e-05
1.6e-05,2e-05
3.8e-05,3.4e-05
2.2e-05,9e-06
2.7e-05,2.1e-05
5e-05,5.8e-05
7.6e-05,8e-05
5.7e-05,8.1e-05
5.2e-05,7.7e-05
0.000109,7.9e-05
0.000132,0.000122
0.000122,0.000142
8.4e-05,0.000117
9.3e-05,9e-05
0.000141,0.00013
0.00019,0.000192
0.000192,0.000181
0.000154,0.000164
0.000203,0.000185
0.000236,0.000207
0.000209,0.000174
0.000215,0.000195
0.000244,0.000219
0.000248,0.000221
0.000216,0.000205
0.000185,0.000186
0.000214,0.000194
0.000241,0.000217
0.000228,0.000194
0.000219,0.000193
0.000245,0.000203
0.000263,0.00023
0.000222,0.000198
0.000204,0.000182
0.000206,0.000186
0.000217,0.000203
0.000227,0.000211
0.000215,0.000194
0.000178,0.000197
0.000189,0.000186
0.000214,0.000164
0.000194,0.000171
0.000195,0.000164
0.000187,0.000168
0.000185,0.000178
0.000156,0.000166
0.000118,0.000123
0.000105,9.4e-05
0.000146,0.000122
0.000159,0.000121
0.000108,7.4e-05
8.8e-05,7.7e-05
9.3e-05,9.2e-05
8.3e-05,9.9e-05
5.8e-05,9.3e-05
4.6e-05,6.3e-05
5.5e-05,4.2e-05
4.8e-05,8e-06
3.1e-05,-2e-06
2.7e-05,1.8e-05
