RT,Response,Top_Number,Bottom_Number
1000,CR,1,1
1000,CR,1,2
1000,CR,1,3
1000,CR,1,4
1000,CR,1,5
1000,CR,2,1
1000,CR,2,2
1000,CR,2,3
1000,CR,2,4
1000,CR,2,5
1000,CR,3,1
1000,CR,3,2
1000,CR,3,3
1000,CR,3,4
1000,CR,3,5
1000,CR,4,1
1000,CR,4,2
1000,CR,4,3
1000,CR,4,4
1000,CR,4,5
1000,CR,5,1
1000,CR,5,2
1000,CR,5,3
1000,CR,5,4
1000,CR,5,5
