EEG_Fp1,EEG_Fp2
-0.000296,-0.000311
-0.000295,-0.000307
-0.000271,-0.000293
-0.000279,-0.000316
-0.000294,-0.000315
-0.000285,-0.000307
-0.000261,-0.00027
-0.000253,-0.000253
-0.000275,-0.000296
-0.000269,-0.000265
-0.000246,-0.000239
-0.000222,-0.000217
-0.000226,-0.000224
-0.000226,-0.000251
-0.000203,-0.000222
-0.000178,-0.000163
-0.000175,-0.000155
-0.000179,-0.000169
-0.000171,-0.000158
-0.000141,-0.000138
-0.000136,-0.000144
-0.000164,-0.000165
-0.000161,-0.000184
-0.000143,-0.000171
-0.000134,-0.000143
-0.00015,-0.00011
-0.000164,-0.000123
-0.000139,-0.000103
-0.000132,-0.000105
-0.000137,-0.000121
-0.000154,-0.000143
-0.000137,-0.00012
-0.000125,-0.000108
-0.000137,-0.000123
-0.000154,-0.000157
-0.00014,-0.000129
-0.00012,-0.000102
-0.00011,-9.3e-05
-0.000128,-0.000115
-0.000135,-0.000126
-0.000114,-0.000106
-0.000108,-0.000102
-0.000117,-0.000118
-0.000126,-0.000122
-8.9e-05,-8.9e-05
-8.2e-05,-7.1e-05
-8.7e-05,-6.8e-05
-9.6e-05,-7.3e-05
-8.8e-05,-6.5e-05
-6.1e-05,-4.5e-05
-6.8e-05,-6.3e-05
-8.6e-05,-7.8e-05
-8.7e-05,-8.2e-05
-5.9e-05,-5.9e-05
-5.8e-05,-4.9e-05
-7.2e-05,-5.6e-05
-7.8e-05,-5.7e-05
-6.2e-05,-5.2e-05
-7.1e-05,-5.8e-05
-9e-05,-6.8e-05
-7.1e-05,-7.1e-05
-4.9e-05,-4.9e-05
-4.8e-05,-5.1e-05
-5.4e-05,-5.4e-05
-7.2e-05,-6.6e-05
-4.8e-05,-3.9e-05
-2.7e-05,-1.3e-05
-4.6e-05,-4.2e-05
-5e-05,-5.9e-05
-5e-05,-4e-05
-2.5e-05,-1.4e-05
-2.4e-05,-2.6e-05
-4.4e-05,-5e-05
-4.8e-05,-6.2e-05
-2.8e-05,-2.6e-05
-1.4e-05,-9e-06
-2.1e-05,-1.7e-05
-4e-05,-3.3e-05
-3.1e-05,-2.9e-05
-1.3e-05,-2.3e-05
-2.9e-05,-3.7e-05
-4.7e-05,-4.3e-05
-3.4e-05,-3e-05
-1.3e-05,-1.7e-05
-2e-05,-2e-05
-4.2e-05,-4.2e-05
-3.6e-05,-3.8e-05
-1.2e-05,1e-06
-8e-06,2e-06
-2.3e-05,-1.9e-05
-3.8e-05,-3.5e-05
-1.5e-05,-1.3e-05
-0.0,2e-06
-2.5e-05,-2.5e-05
-3.8e-05,-4.2e-05
-1.3e-05,-7e-06
